date,turnover
2022-01-03,0.5
2022-01-07,0.2346719432286552
2022-01-14,0.24917279210587526
2022-01-21,0.12881993414068743
2022-01-28,0.10348725237154172
2022-02-04,0.07208261864401327
2022-02-11,0.5115470574215994
2022-02-18,0.2615957069203476
2022-02-25,0.3260843339570063
2022-03-04,0.3447189448954058
2022-03-11,0.28973088870322355
2022-03-18,0.23758540397684155
2022-03-25,0.10055631482649457
2022-04-01,0.23345546883777407
2022-04-08,0.17232201205024206
2022-04-15,0.17237667046855243
2022-04-22,0.2421772921190915
2022-04-29,0.1556664328383635
2022-05-06,0.13749992386477505
2022-05-13,0.18520949804686138
2022-05-20,0.2562936643319115
2022-05-27,0.23728491637019955
2022-06-03,0.6040636173421234
2022-06-10,0.5605895017153726
2022-06-17,0.2968575278427138
2022-06-24,0.2628967032763794
2022-07-01,0.3154318462880925
2022-07-08,0.38465945293475823
2022-07-15,0.29585341168145696
2022-07-22,0.25757585650315523
2022-07-29,0.1822832216938313
2022-08-05,0.2794092280223206
2022-08-12,0.34621236459447147
2022-08-19,0.24463821799999677
2022-08-26,0.11793530320416232
2022-09-02,0.4409777719888888
2022-09-09,0.27498577125910584
2022-09-16,0.26167799883781306
2022-09-23,0.3445480385324989
2022-09-30,0.34409650212092446
2022-10-07,0.27665668456586867
2022-10-14,0.2621582551463874
2022-10-21,0.28529275016332883
2022-10-28,0.269745292060696
2022-11-04,0.22549150663674347
2022-11-11,0.20702128047655705
2022-11-18,0.2637591257865698
2022-11-25,0.25378548165472914
2022-12-02,0.2729940309633875
2022-12-09,0.3401894763762203
2022-12-16,0.6149979968746511
2022-12-23,0.9171043975318323
2022-12-30,0.2711757586625129
2023-01-06,0.40256133965900587
2023-01-13,0.4270433831862085
2023-01-20,0.3412700788337584
2023-01-27,0.5043157228334683
2023-02-03,0.4526181127185248
2023-02-10,0.37492127536814396
2023-02-17,0.44826609387333877
2023-02-24,0.4684179691058379
2023-03-03,0.5017778811082967
2023-03-10,0.5782878819571223
2023-03-17,0.8670028519001637
2023-03-24,0.4477108565273933
2023-03-31,0.48979462966178317
2023-04-07,0.500891306731028
2023-04-14,0.4775975215575215
2023-04-21,0.5693714030468241
2023-04-28,0.32221334116413347
2023-05-05,0.4701881969142782
2023-05-12,0.5797311603580637
2023-05-19,0.48035139588967946
2023-05-26,0.4489302305294439
2023-06-02,0.5922075372143331
2023-06-09,0.49103654522910595
2023-06-16,0.493069166670541
2023-06-23,0.4148501584299419
2023-06-30,0.38936360600102615
2023-07-07,0.4016717856880716
2023-07-14,0.39377686052543115
2023-07-21,0.29555200211808935
2023-07-28,0.10722820406067626
2023-08-04,0.912009159135855
2023-08-11,0.18465647853238376
2023-08-18,0.38777141672068705
2023-08-25,0.3724813386985502
2023-09-01,0.08809283543898493
2023-09-08,0.8051386314760243
2023-09-15,0.27830702072530944
2023-09-22,0.47916788309287955
2023-09-29,0.3892365439613608
2023-10-06,0.32744174376059954
2023-10-13,0.40970113870897246
2023-10-20,1.0
2023-10-27,0.1979274933976677
2023-11-03,0.10726078632021653
2023-11-10,0.13665675629405916
2023-11-17,0.15907579768639868
2023-11-24,0.2073633131179101
2023-12-01,0.1788703598814808
2023-12-08,0.1714909151463266
2023-12-15,0.10826569128555501
2023-12-22,0.14823383283596653
2023-12-29,0.24361883494324893
2024-01-05,0.24066258854224537
2024-01-12,0.09690034695290467
2024-01-19,0.09723755524753144
2024-01-26,0.11221228471391156
2024-02-02,0.02333516900854963
2024-02-09,0.11592600709990676
2024-02-16,0.028156446824460675
2024-02-23,0.09096553861782922
2024-03-01,0.038556035242392546
2024-03-08,4.163336342344337e-17
2024-03-15,0.04518246822608943
2024-03-22,0.10664442704891149
2024-03-29,0.2209865294928333
2024-04-05,0.39245038127343534
2024-04-12,0.1391175823289924
2024-04-19,0.1469068159766661
2024-04-26,0.34047672654868677
2024-05-03,0.026665692842461765
2024-05-10,0.030871355240166216
2024-05-17,0.07629294432572584
2024-05-24,0.12051293602805296
2024-05-31,0.25885476272931146
2024-06-07,0.2623708168562596
2024-06-14,0.10378219766077143
2024-06-21,0.022571173233581557
2024-06-28,0.044360662136073994
2024-07-05,0.07233727909471144
2024-07-12,0.022306503494093098
2024-07-19,0.040985089021015386
2024-07-26,0.05757552024489244
2024-08-02,0.13197347675556861
2024-08-09,0.10101964767132723
2024-08-16,0.19261299156568323
2024-08-23,0.22883252517826314
2024-08-30,0.10680658678714822
2024-09-06,0.08710592380258171
2024-09-13,0.033439070103862226
2024-09-20,0.1118854338364227
2024-09-27,0.08828293600315902
2024-10-04,0.12124296671287106
2024-10-11,0.07495473555051688
2024-10-18,0.44536536719869335
2024-10-25,0.19339688739705513
2024-11-01,0.3861152613252109
2024-11-08,0.20451829273749134
2024-11-15,0.20844764245893477
2024-11-22,0.11179145781576433
2024-11-29,0.13838234787467696
2024-12-06,0.021400717714579243
2024-12-13,0.10464592193701577
2024-12-20,0.09416776767065452
2024-12-27,0.3836026803908155
2025-01-01,0.2472996093858253
